Artist;Title;Album;Year
Faith No More;We Care A Lot (Original Version);Who Cares A Lot? The Greatest Hits [Disc 1];1998
Faith No More;The World Is Yours;Who Cares A Lot? The Greatest Hits [Disc 2];1998
Ministry;N.W.O.;Psalm 69;1992
Corrosion Of Conformity;Mad World;Animosity;1985
David Shankle Group;A Raven At Midnight;Ashes to Ashes;2003
Iron Maiden;Running Free (Live);Best Of The Beast;1996
S.O.D.;The Crackhead Song;Bigger Than The Devil;2000
S.O.D.;Raise Your Sword;Bigger Than The Devil;2000
Black Sabbath;N.I.B.;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;The Wizard;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;The Wizard;Black Sabbath;1970
Black Sabbath;Tomorrow`s Dream;Black Sabbath, Vol.4;1972
Judas Priest;Metal Gods;British Steel;1980
Judas Priest;Metal Gods;British Steel [The Re-Masters];1980
Ryker's;Brother Against Brother;Brother Against Brother;1994
Arch Enemy;Dead Inside;Burning Bridges;2001
Megadeth;Dread & The Fugitive Mind;Capitol Punishment: The Megadeth Years;2000
Alestorm;Captain Morgan's Revenge;Captain Morgan's Revenge;2008
Pantera;Primal Concrete Sledge;Cowboys From Hell;1990
Cycle Sluts from Hell;By the Balls;Cycle Sluts from Hell;1991
Judas Priest;Jawbreaker;Defenders Of The Faith;1984
Judas Priest;Jawbreaker;Defenders Of The Faith [Remastered];1984
Moi dix Mois;La dix croix;Dix infernal;2003
Mercyful Fate;Nightmare;Don't Break The Oath;1984
Nemo;RoboSong1;Drum Machine Madness;2003
Bulldoze;The Truth;The Final Beatdown;1998
Yngwie Malmsteen;Dragonfly;Fire And Ice;1992
Testament;More Than Meets The Eye;The Formation Of Damnation;2008
Arnocorps;Predator;The Greatest Band of All Time;2005
Judas Priest;Rock Forever;Hell Bent For Leather;1978
Judas Priest;Rock Forever;Hell Bent For Leather [The Remasters];1978
Stratovarius;Millenium;Hunting High & Low;2000
